Date,Close/Last,Volume,Open,High,Low
05/25/2021,$36.88,200150,$37.99,$38.81,$36.59
05/24/2021,$38.13,343676,$38.72,$39.05,$37.86
05/21/2021,$38.29,420847,$36.58,$39,$35.93
05/20/2021,$36.13,1017910,$33.98,$37.25,$33.7
05/19/2021,$32.22,84247,$30.47,$32.38,$30.2
05/18/2021,$31.05,157331,$30.33,$31.42,$30.21
05/17/2021,$30.13,853562,$29.51,$30.7,$29.2
05/14/2021,$29.81,82072,$29.69,$29.96,$29.35
05/13/2021,$29.38,78521,$30,$30.64,$28.67
05/12/2021,$29.73,108313,$30.41,$30.61,$29.32
05/11/2021,$30.78,70999,$29.77,$31.285,$29.52
05/10/2021,$30.43,170792,$32.18,$32.18,$30.14
05/07/2021,$31.89,121969,$30.75,$32.21,$30.75
05/06/2021,$30.75,278399,$30.29,$33.24,$30.29
05/05/2021,$29.51,96175,$30.14,$30.14,$28.83
05/04/2021,$29.95,120836,$30.55,$30.55,$29.1
05/03/2021,$30.6,144569,$30.4,$30.62,$29.78
04/30/2021,$30.03,177490,$28.33,$30.11,$28.27
04/29/2021,$28.63,202665,$29.58,$29.605,$28.14
04/28/2021,$29.28,345000,$29.77,$30.495,$29.05
04/27/2021,$29.77,165090,$29.6,$30.36,$29.6
04/26/2021,$29.52,133665,$29.73,$30.05,$29.12
04/23/2021,$29.47,224242,$28.39,$29.7,$27.845
04/22/2021,$28.19,151831,$29.01,$29.43,$28.13
04/21/2021,$28.94,144711,$27.32,$29.03,$27.32
04/20/2021,$27.5,144483,$28.87,$29.26,$27.265
04/19/2021,$29.01,280010,$30.2,$30.24,$28.4
04/16/2021,$30.17,175508,$31.01,$31.33,$29.73
04/15/2021,$30.7,173601,$31.02,$31.35,$30.4
04/14/2021,$30.78,436744,$31.46,$32.25,$30.58
04/13/2021,$31.27,141646,$31.63,$32.02,$30.5
04/12/2021,$31.54,169762,$31.32,$32.24,$31
04/09/2021,$31.4,160980,$31.45,$31.64,$30.86
04/08/2021,$31.54,163846,$31.16,$31.57,$30.58
04/07/2021,$31.03,182026,$31.07,$31.315,$30.4501
04/06/2021,$31.2,149118,$31.02,$31.74,$30.83
04/05/2021,$31.03,143921,$31.47,$31.7543,$30.55
04/01/2021,$31,279986,$30.43,$31.8,$30.43
03/31/2021,$30.05,124624,$29.77,$31.09,$29.62
03/30/2021,$29.68,117813,$28.88,$29.91,$28.67
03/29/2021,$28.68,122879,$28.89,$29.81,$28.4
03/26/2021,$28.89,153389,$29.76,$29.915,$28
03/25/2021,$29.34,189434,$29.45,$29.75,$28.25
03/24/2021,$29.62,229144,$31.02,$31.18,$29.59
03/23/2021,$30.77,381763,$31.66,$31.66,$30.17
03/22/2021,$31.74,161285,$31.87,$32.47,$31.0617
03/19/2021,$31.87,292442,$32.06,$33.9978,$30.8
03/18/2021,$32.14,280969,$31.9,$33.1604,$31.4493
03/17/2021,$32.57,136021,$32.6,$33.22,$31.76
03/16/2021,$32.68,131835,$33.04,$33.6199,$32.18
03/15/2021,$33.02,228768,$32.92,$34.34,$32.61
03/12/2021,$32.68,186740,$32.39,$32.92,$31.75
03/11/2021,$32.65,408312,$31.86,$33.25,$30.7
03/10/2021,$31.02,682805,$28.73,$31.58,$28.24
03/09/2021,$28.56,306524,$27.78,$29.84,$27.5
03/08/2021,$27.45,216187,$28.66,$28.69,$26.76
03/05/2021,$28.24,1584946,$26.15,$28.78,$25.6
03/04/2021,$26.02,2591144,$32.93,$33.22,$25.01
03/03/2021,$34.66,56555,$35.58,$36.24,$34.47
03/02/2021,$35.46,93402,$34.77,$36.56,$34.09
03/01/2021,$35.12,121656,$35.97,$35.97,$34.4
02/26/2021,$35.32,100650,$35.96,$36.57,$34.56
02/25/2021,$35.72,93051,$37.34,$37.63,$35.71
02/24/2021,$37.46,114136,$37.39,$38.8,$37.06
02/23/2021,$37.42,235318,$36.66,$37.87,$34.53
02/22/2021,$37.03,201606,$36.64,$37.38,$34.82
02/19/2021,$37.16,312572,$36.27,$37.44,$35.62
02/18/2021,$36.16,472491,$36.14,$37.22,$32.7364
02/17/2021,$32.41,201203,$32.37,$32.97,$30.74
02/16/2021,$32.88,170323,$32.84,$33.26,$32.0597
02/12/2021,$32.87,93151,$32.72,$33.36,$32.001
02/11/2021,$32.65,176457,$32.46,$33.81,$32.1
02/10/2021,$32.26,115343,$32.35,$32.8,$31.797
02/09/2021,$31.82,153547,$30.83,$32.29,$30.45
02/08/2021,$31.01,91287,$29.99,$31.1,$29.4957
02/05/2021,$29.46,218512,$28.2,$29.87,$28
02/04/2021,$28.26,145945,$27.14,$28.815,$27.015
02/03/2021,$27.06,139106,$26.41,$27.59,$25.1634
02/02/2021,$26.62,85796,$24.53,$26.83,$24.34
02/01/2021,$24.16,89537,$24.5,$24.81,$23.22
01/29/2021,$24.21,148981,$24.82,$24.82,$23.92
01/28/2021,$24.7,123541,$24.83,$26.03,$24.0236
01/27/2021,$25.01,316745,$25.53,$26.105,$24.82
01/26/2021,$26.31,102708,$27.11,$27.11,$25.6411
01/25/2021,$26.95,134055,$27.33,$27.74,$26.34
01/22/2021,$27.54,112505,$25.43,$27.71,$25.35
01/21/2021,$25.72,63105,$25.95,$26.02,$25.37
01/20/2021,$26.06,62255,$25.79,$26.96,$25.62
01/19/2021,$25.76,140716,$25.5,$26.99,$25.47
01/15/2021,$25.36,145022,$24.48,$26,$24.3575
01/14/2021,$24.9,115002,$23.99,$25.35,$23.89
01/13/2021,$23.81,108108,$23.55,$24.21,$22.79
01/12/2021,$23.6,65337,$22.82,$23.7,$22.48
01/11/2021,$22.61,160505,$23.51,$24.54,$22.46
01/08/2021,$23.92,59212,$24.24,$24.5,$23.49
01/07/2021,$24.13,132647,$24.97,$24.97,$23.26
01/06/2021,$24.72,146404,$24.37,$25.34,$23.5529
01/05/2021,$23.89,94039,$23.6,$24.435,$23.6
01/04/2021,$23.74,123050,$24.21,$25.27,$23.43
12/31/2020,$24.11,100902,$24.01,$24.86,$23.12
12/30/2020,$24.01,204898,$21.79,$24.59,$21.79
12/29/2020,$22.02,70379,$21.99,$23.09,$21.4
12/28/2020,$22.46,90963,$22.5,$23.395,$22.29
12/24/2020,$22.14,24522,$22.12,$22.56,$21.94
12/23/2020,$22.02,91510,$21.73,$22.64,$21.73
12/22/2020,$21.83,184497,$22.19,$22.44,$20.87
12/21/2020,$20.86,195081,$21.13,$21.78,$19.883
12/18/2020,$21.85,823270,$22.83,$23.83,$21.78
12/17/2020,$22.69,90694,$22.33,$23.1,$22.19
12/16/2020,$22.18,103902,$22.13,$22.99,$21.97
12/15/2020,$22.07,100348,$21.84,$22.3,$21.0001
12/14/2020,$21.57,138115,$21.78,$23.15,$21.5
12/11/2020,$21.5,107095,$21.5,$21.85,$21.375
12/10/2020,$21.84,133403,$20.95,$22,$20.93
12/09/2020,$20.93,207428,$22.83,$23.83,$20.43
12/08/2020,$22.52,180445,$22.68,$23.96,$22.11
12/07/2020,$22.8,189014,$24.7,$24.7,$22.59
12/04/2020,$24.79,141719,$23.74,$25.06,$22.9972
12/03/2020,$23.5,152297,$24.28,$25.18,$23.17
12/02/2020,$24.26,206697,$23.71,$24.9,$23.55
12/01/2020,$23.76,97539,$25.95,$26.1432,$23.5
11/30/2020,$25.02,201574,$25.65,$26.24,$24.93
11/27/2020,$25.42,77789,$24.75,$25.785,$24.53
11/25/2020,$24.74,100046,$23.92,$24.94,$23.8
11/24/2020,$24.07,116786,$23.44,$24.52,$23.285
11/23/2020,$22.97,145704,$22.81,$23.33,$22.41
11/20/2020,$22.3,106155,$22.18,$22.93,$21.7501
11/19/2020,$22.45,54205,$21.71,$22.46,$21.21
11/18/2020,$21.37,111603,$21.85,$22.44,$21.33
11/17/2020,$21.87,83876,$21.78,$22.49,$21.5101
11/16/2020,$22.22,165841,$22.04,$23.54,$21.86
11/13/2020,$21.54,70754,$22.335,$22.335,$21.28
11/12/2020,$21,103522,$21.22,$22.24,$20.91
11/11/2020,$21.59,145713,$22.27,$22.3,$20.5
11/10/2020,$22.23,258784,$21.3,$22.9169,$20.77
11/09/2020,$21.06,111528,$20.39,$22,$20.32
11/06/2020,$19.7,55892,$20,$20.29,$19.5
11/05/2020,$20,175059,$23.32,$23.32,$19.49
11/04/2020,$20.16,131994,$20.32,$21.16,$19.63
11/03/2020,$20.44,85022,$19.9,$20.93,$19.645
11/02/2020,$19.54,93113,$19.39,$19.82,$19.02
10/30/2020,$18.93,92685,$18.91,$19.56,$18.57
10/29/2020,$19.1,117892,$19.13,$19.4,$18.22
10/28/2020,$19.1,133557,$19.83,$19.9,$19.06
10/27/2020,$20.2,111491,$20.8,$21.055,$20.14
10/26/2020,$20.89,78279,$21.67,$21.67,$20.2601
10/23/2020,$21.85,114280,$21.26,$21.99,$21.09
10/22/2020,$21.26,155228,$19.71,$21.4,$19.71
10/21/2020,$19.7,109401,$19.25,$19.99,$18.9
10/20/2020,$19.25,216833,$19.3,$19.68,$18.75
10/19/2020,$19.26,132632,$20,$20.19,$19.03
10/16/2020,$19.78,90582,$19.85,$20.44,$19.66
10/15/2020,$19.85,218056,$19.59,$20.4351,$19.17
10/14/2020,$19.77,64936,$20.22,$20.52,$19.651
10/13/2020,$20.22,166448,$19.76,$21.58,$19.76
10/12/2020,$19.94,146140,$20.03,$20.85,$19.65
10/09/2020,$19.92,96192,$20.66,$21.22,$19.81
10/08/2020,$20.61,170603,$19.17,$20.94,$18.92
10/07/2020,$18.79,109856,$18.93,$19.15,$18.61
10/06/2020,$18.6,145698,$18.85,$19.4,$18.56
10/05/2020,$18.63,98590,$18.68,$19.22,$18.3475
10/02/2020,$18.31,77296,$17.8,$18.455,$17.8
10/01/2020,$18.3,117795,$18.94,$19.09,$18.22
09/30/2020,$18.97,162695,$19.33,$19.715,$18.81
09/29/2020,$18.43,187551,$18.32,$18.83,$17.8104
09/28/2020,$18.34,126040,$18.66,$19.1099,$18.245
09/25/2020,$18.39,108200,$17.86,$18.73,$17.83
09/24/2020,$17.89,176453,$18.32,$18.5,$17.67
09/23/2020,$18.31,150761,$19.36,$19.675,$18.195
09/22/2020,$19.35,118790,$19.49,$19.81,$18.9025
09/21/2020,$19.44,173452,$20.01,$20.25,$19.16
09/18/2020,$20.54,494414,$20.77,$21.59,$19.915
09/17/2020,$20.56,285922,$19.25,$20.9,$19.06
09/16/2020,$19.5,230489,$18.73,$19.56,$18.73
09/15/2020,$18.73,114558,$18.55,$19.27,$18.3801
09/14/2020,$18.55,140736,$17.73,$18.67,$17.695
09/11/2020,$17.04,101470,$17.19,$17.62,$16.74
09/10/2020,$17.13,201878,$17.1,$17.695,$16.93
09/09/2020,$17.01,180036,$16.42,$17.58,$16.26
09/08/2020,$16.29,187829,$16.88,$16.88,$15.8
09/04/2020,$16.97,324182,$17.11,$17.5,$16.6036
09/03/2020,$17.02,425580,$16.09,$17.14,$15.87
09/02/2020,$16.04,216488,$16.05,$16.12,$15.32
09/01/2020,$16,227566,$16.33,$16.42,$15.72
